event_id,event_year,event_month,event_day,account_id,sampled,event_text,type,subtype,actors,places,keywords,bib_keys,wos_keys,extracted_from,comment
91,1993,,,4,,Discovery of CRISPR,publication,,,,,mojica:1993,,timeline structure,die zuordnungen sind hier aufgrund der narrativen Form nicht immer ganz eindeutig
92,2005,,,4,,CRISPR is an adaptive immune system,publication,,,,,mojica:2005;pourcel:2005;bolotin:2005,,timeline structure,die zuordnungen sind hier aufgrund der narrativen Form nicht immer ganz eindeutig
93,2006,,,4,,Experimental evidence that CRISPR confers adaptive immunity,publication,,,,,makarova:2006;bolotin:2005,,timeline structure,die zuordnungen sind hier aufgrund der narrativen Form nicht immer ganz eindeutig
94,2008,,,4,,Programming CRISPR ,publication,,,,,brouns:2008,,timeline structure,die zuordnungen sind hier aufgrund der narrativen Form nicht immer ganz eindeutig
95,2008,,,4,,CRISPR targets DNA,publication,,,,,marraffini:2008,,timeline structure,die zuordnungen sind hier aufgrund der narrativen Form nicht immer ganz eindeutig
96,2010,,,4,,Cas9 is guided by crRNAs and creates double-stranded breaks,publication,,,,,garneau:2010,,timeline structure,die zuordnungen sind hier aufgrund der narrativen Form nicht immer ganz eindeutig
97,2010,,,4,,Discovery of tracrRNA,publication,,,,,deltcheva:2011,,timeline structure,die zuordnungen sind hier aufgrund der narrativen Form nicht immer ganz eindeutig
98,2011,,,4,,Reconstituting CRISPR in a distant organism,publication,,,,,sapranauskas:2011,,timeline structure,die zuordnungen sind hier aufgrund der narrativen Form nicht immer ganz eindeutig
99,2012,,,4,,Studying CRISPR in vitro,publication,,,,,gasiunas:2012;jinek:2012,,timeline structure,plus Patentierung; die zuordnungen sind hier aufgrund der narrativen Form nicht immer ganz eindeutig
100,2012,,,4,,Genome editing in mammalian cells,publication,,,,,cong:2013,,timeline structure,plus Patentierung; die zuordnungen sind hier aufgrund der narrativen Form nicht immer ganz eindeutig
101,1993,,,10,1,"Discovery of CRISPR and its function: Francisco Mojica was the first researcher to characterize what is now called a CRISPR locus, reported in 1993. ",publication,,"Francisco Mojica, University of Alicante, Spain",,Mojica;CRISPR;1993,none,,timeline structure,es gibt im Timeline-Dokument keine Quelle für diese Aussage
102,2000,,,10,,"Discovery of CRISPR and its function: In 2000, he [Francisco Mojica] recognized that what had been reported as disparate repeat sequences actually shared a common set of features, now known to be hallmarks of CRISPR sequences (he coined the term CRISPR through correspondence with Ruud Jansen, who first used the term in print in 2002).",publication,,"Francisco Mojica, University of Alicante, Spain",,,none,,timeline structure,es gibt im Timeline-Dokument keine Quelle für diese Aussage
103,2005,5,,10,,"Discovery of Cas9 and PAM: Bolotin was studying the bacteria Streptococcus thermophilus, which had just been sequenced, revealing an unusual CRISPR locus (Bolotin et al., 2005). Although the CRISPR array was similar to previously reported systems, it lacked some of the known cas genes and instead contained novel cas genes, including one encoding a large protein they predicted to have nuclease activity, which is now known as Cas9. Furthermore, they noted that the spacers, which have homology to viral genes, all share a common sequence at one end. This sequence, the protospacer adjacent motif (PAM), is required for target recognition.  ",publication,,"Alexander Bolotin, French National Institute for Agricultural Research (INRA)",,,bolotin:2005,,timeline structure,
104,2005,,,10,,"Discovery of CRISPR and its function: In 2005 he reported that these sequences matched snippets from the genomes of bacteriophage (Mojica et al., 2005). This finding led him to hypothesize, correctly, that CRISPR is an adaptive immune system. Another group, working independently, published similar findings around this same time (Pourcel et al., 2005).",publication,,"Francisco Mojica, University of Alicante, Spain",,,mojica:2005;pourcel:2005,,timeline structure,
105,2006,3,,10,,"Hypothetical scheme of adaptive immunity: Koonin was studying clusters of orthologous groups of proteins by computational analysis and proposed a hypothetical scheme for CRISPR cascades as bacterial immune system based on inserts homologous to phage DNA in the natural spacer array, abandoning previous hypothesis that the Cas proteins might comprise a novel DNA repair system. (Makarova et al., 2006).",publication,,"Eugene Koonin, US National Center for Biotechnology Information, NIH",,,makarova:2006,,timeline structure,
106,2007,3,,10,,"Experimental demonstration of adaptive immunity: S. thermophilus is widely used in the dairy industry to make yogurt and cheese, and scientists at Danisco wanted to explore how it responds to phage attack, a common problem in industrial yogurt making. Horvath and colleagues showed experimentally that CRISPR systems are indeed an adaptive immune system: they integrate new phage DNA into the CRISPR array, which allows them to fight off the next wave of attacking phage (Barrangou et al., 2007). Furthermore, they showed that Cas9 is likely the only protein required for interference, the process by which the CRISPR system inactivates invading phage, details of which were not yet known.",publication,,"Philippe Horvath, Danisco France SAS",,,barrangou:2007,,timeline structure,
107,2008,8,,10,,"Spacer sequences are transcribed into guide RNAs: Scientists soon began to fill in some of the details on exactly how CRISPR-Cas systems “interfere” with invading phage. The first piece of critical information came from John van der Oost and colleagues who showed that in E-scherichia coli, spacer sequences, which are derived from phage, are transcribed into small RNAs, termed CRISPR RNAs (crRNAs), that guide Cas proteins to the target DNA (Brouns et al., 2008).",publication,,"John van der Oost, University of Wageningen, Netherlands",,,brouns:2008,,timeline structure,
108,2008,12,,10,,"CRISPR acts on DNA targets: The next key piece in understanding the mechanism of interference came from Marraffini and Sontheimer, who elegantly demonstrated that the target molecule is DNA, not RNA (Marraffini and Sontheimer, 2008). This was somewhat surprising, as many people had considered CRISPR to be a parallel to eukaryotic RNAi silencing mechanisms, which target RNA. Marraffini and Sontheimer explicitly noted in their paper that this system could be a powerful tool if it could be transferred to non-bacterial systems. (It should be noted, however, that a different type of CRISPR system can target RNA (Hale et al., 2009)).",publication,,"Luciano Marraffini and Erik Sontheimer, Northwestern University, Illinois",,,hale:2009,,timeline structure,
109,2010,12,,10,,"Cas9 cleaves target DNA: Moineau and colleagues demonstrated that CRISPR-Cas9 creates double-stranded breaks in target DNA at precise positions, 3 nucleotides upstream of the PAM (Garneau et al., 2010). They also confirmed that Cas9 is the only protein required for cleavage in the CRISPR-Cas9 system. This is a distinguishing feature of Type II CRISPR systems, in which interference is mediated by a single large protein (here Cas9) in conjunction with crRNAs.",publication,,"Sylvain Moineau, University of Laval, Quebec City, Canada",,,garneau:2010,,timeline structure,
110,2011,3,,10,,"Discovery of tracrRNA for Cas9 system: The final piece to the puzzle in the mechanism of natural CRISPR-Cas9-guided interference came from the group of Emmanuelle Charpentier. They performed small RNA sequencing on Streptococcus pyogenes, which has a Cas9-containing CRISPR-Cas system. They discovered that in addition to the crRNA, a second small RNA exists, which they called trans-activating CRISPR RNA (tracrRNA) (Deltcheva et al., 2011).  They showed that tracrRNA forms a duplex with crRNA, and that it is this duplex that guides Cas9 to its targets.",publication,,"Emmanuelle Charpentier, Umea University, Sweden and University of Vienna, Austria",,,deltcheva:2011,,timeline structure,
111,2011,7,,10,,"CRISPR systems can function heterologously in other species: Siksnys and colleagues cloned the entire CRISPR-Cas locus from S. thermophilus (a Type II system) and expressed it in E. coli (which does not contain a Type II system), where they demonstrated that it was capable of providing plasmid resistance (Sapranauskas et al., 2011). This suggested that CRISPR systems are self-contained units and verified that all of the required components of the Type II system were known.",publication,,"Virginijus Siksnys, Vilnius University",,,sapranauskas:2011,,timeline structure,
112,2012,6,,10,,"Biochemical characterization of Cas9-mediated cleavage: Similar findings as those in Gasiunas et al. were reported at almost the same time by Emmanuelle Charpentier in collaboration with Jennifer Doudna at the University of California, Berkeley (Jinek et al., 2012). Charpentier and Doudna also reported that the crRNA and the tracrRNA could be fused together to create a single, synthetic guide, further simplifying the system. (Although published in June 2012, this paper was submitted after Gasiunas et al.)",publication,,"Charpentier and Jennifer Doudna, University of California",,,gasiunas:2012;jinek:2012,,timeline structure,
