event_id,event_year,event_month,event_day,account_id,sampled,event_text,type,subtype,actors,places,keywords,wos_keys,bib_keys,extracted_from,comment
3000,2014,,,65,,,,,,,,WOS:000332083900012,,match in dump,
3001,2015,,,65,,,,,,,,WOS:000349966200002,,match in dump,
3002,2008,,,65,,,,,,,,WOS:000253005800028,,match in dump,
3003,2010,,,65,,,,,,,,WOS:000283786900036,,match in dump,
3004,2013,,,65,,,,,,,,WOS:000328693300006,,match in dump,
3005,2013,,,65,,,,,,,,WOS:000324306300024,,match in dump,
3006,2015,,,65,,,,,,,,WOS:000349840500009,,match in dump,
3007,2016,,,65,,,,,,,,WOS:000368673800029,,match in dump,
3008,2015,,,65,,,,,,,,WOS:000366406500004,,match in dump,
3009,2016,,,65,,,,,,,,WOS:000386317500021,,match in dump,
3010,2014,,,65,,,,,,,,WOS:000337233800020,,match in dump,
3011,2015,,,65,,,,,,,,WOS:000354338500002,,match in dump,
3012,2015,,,65,,,,,,,,WOS:000365989800007,,match in dump,
3013,2014,,,65,,,,,,,,WOS:000329163500013,,match in dump,
3014,2005,,,65,,,,,,,,WOS:000234713300005,,match in dump,
3015,2016,,,65,,,,,,,,WOS:000383794500013,,match in dump,
3016,2009,,,65,,,,,,,,WOS:000264515100009,,match in dump,
3017,2016,,,65,,,,,,,,WOS:000374815900051,,match in dump,
3018,2013,,,65,,,,,,,,WOS:000326164100014,,match in dump,
3019,2017,,,65,,,,,,,,WOS:000410812200007,,match in dump,
3020,2014,,,65,,,,,,,,WOS:000329162000052,,match in dump,
3021,2008,,,65,,,,,,,,WOS:000261799400054,,match in dump,
3022,2014,,,65,,,,,,,,WOS:000336662200012,,match in dump,
3023,2016,,,65,,,,,,,,WOS:000375735000033,,match in dump,
3024,2013,,,65,,,,,,,,WOS:000316851100026,,match in dump,
3025,2011,,,65,,,,,,,,WOS:000288951200035,,match in dump,
3026,2015,,,65,,,,,,,,WOS:000358378900041,,match in dump,
3027,2015,,,65,,,,,,,,WOS:000352083100018,,match in dump,
3028,2014,,,65,,,,,,,,WOS:000338705900034,,match in dump,
3029,2013,,,65,,,,,,,,WOS:000324765100038,,match in dump,
3030,2013,,,65,,,,,,,,WOS:000315710300022,,match in dump,
3031,2014,,,65,,,,,,,,WOS:000332819800025,,match in dump,
3032,2007,,,65,,,,,,,,WOS:000245106900039,,match in dump,
3033,2016,,,65,,,,,,,,WOS:000376004300054,,match in dump,
3034,2015,,,65,,,,,,,,WOS:000358396100032,,match in dump,
3035,2014,,,65,,,,,,,,WOS:000332819800027,,match in dump,
3036,2013,,,65,,,,,,,,WOS:000324306300023,,match in dump,
3037,2012,,,65,,,,,,,,WOS:000309604500003,,match in dump,
3038,2014,,,65,,,,,,,,WOS:000337956100013,,match in dump,
3039,2013,,,65,,,,,,,,WOS:000324306300022,,match in dump,
3040,2013,,,65,,,,,,,,WOS:000325278000007,,match in dump,
3041,2014,,,65,,,,,,,,WOS:000345763400031,,match in dump,
3042,2014,,,65,,,,,,,,WOS:000329162000053,,match in dump,
3043,2016,,,65,,,,,,,,WOS:000368758200030,,match in dump,
3044,1987,,,65,,,,,,,,WOS:A1987L042600013,,match in dump,
3045,2016,,,65,,,,,,,,WOS:000377846400032,,match in dump,
3046,2014,,,65,,,,,,,,WOS:000337233800021,,match in dump,
3047,2000,,,65,,,,,,,,WOS:000086338200024,,match in dump,
3048,2015,,,65,,,,,,,,WOS:000352454600031,,match in dump,
3049,2015,,,65,,,,,,,,WOS:000349198800025,,match in dump,
3050,2015,,,65,,,,,,,,WOS:000352348500025,,match in dump,
3051,2013,,,65,,,,,,,,WOS:000325073800017,,match in dump,
3052,2016,,,65,,,,,,,,WOS:000367364200048,,match in dump,
3053,2013,,,65,,,,,,,,WOS:000314874400050,,match in dump,
3054,2014,,,65,,,,,,,,WOS:000209690800001,,match in dump,
3055,2014,,,65,,,,,,,,WOS:000338705900033,,match in dump,
3056,2014,,,65,,,,,,,,WOS:000344521700018,,match in dump,
3057,2015,,,65,,,,,,,,WOS:000352079500016,,match in dump,
3058,2017,,,65,,,,,,,,WOS:000406925300016,,match in dump,
3059,2011,,,65,,,,,,,,WOS:000297375700025,,match in dump,
3060,2002,,,65,,,,,,,,WOS:000174710000017,,match in dump,
3061,2016,,,65,,,,,,,,WOS:000378109400023,,match in dump,
3062,2006,,,65,,,,,,,,WOS:000244032500001,,match in dump,
3063,2013,,,65,,,,,,,,WOS:000325073800018,,match in dump,
3064,2015,,,65,,,,,,,,WOS:000364828900027,,match in dump,
3065,2017,,,65,,,,,,,,WOS:000416499500013,,match in dump,
3066,2016,,,65,,,,,,,,WOS:000414793800001,,match in dump,
3067,2016,,,65,,,,,,,,WOS:000370867300018,,match in dump,
3068,2013,,,65,,,,,,,,WOS:000321950700019,,match in dump,
3069,2015,,,65,,,,,,,,WOS:000348775000036,,match in dump,
3070,2014,,,65,,,,,,,,WOS:000346159300002,,match in dump,
3071,2013,,,65,,,,,,,,WOS:000314874400049,,match in dump,
3072,2014,,,65,,,,,,,,WOS:000334340800019,,match in dump,
