event_id,event_year,event_month,event_day,account_id,sampled,event_text,type,subtype,actors,placses,keywords,wos_keys,bib_keys,extracted_from,comment
3000,1998,,,66,,,,,,,,WOS:000071306000035,,wos,
3001,1999,,,66,,,,,,,,WOS:000079735500010,,wos,
3002,2019,,,66,,,,,,,,WOS:000499478600032,,wos,
3003,1999,,,66,,,,,,,,WOS:000080818700005,,wos,
3004,1999,,,66,,,,,,,,WOS:000080898500002,,wos,
3005,1999,,,66,,,,,,,,WOS:000081607400011,,wos,
3006,1999,,,66,,,,,,,,WOS:000082574100083,,wos,
3007,2000,,,66,,,,,,,,WOS:000086338200024,,wos,
3008,2016,,,66,,,,,,,,WOS:000381187800001,,wos,
3009,2000,,,66,,,,,,,,WOS:000165187500006,,wos,
3010,2000,,,66,,,,,,,,WOS:000165472700007,,wos,
3011,2000,,,66,,,,,,,,WOS:000165766300003,,wos,
3012,2020,,,66,,,,,,,,WOS:000506001200074,,wos,
3013,2001,,,66,,,,,,,,WOS:000167774000004,,wos,
3014,2001,,,66,,,,,,,,WOS:000168907500002,,wos,
3015,2001,,,66,,,,,,,,WOS:000169612900004,,wos,
3016,2001,,,66,,,,,,,,WOS:000170450200006,,wos,
3017,2001,,,66,,,,,,,,WOS:000170885900013,,wos,
3018,2001,,,66,,,,,,,,WOS:000172469000003,,wos,
3019,2001,,,66,,,,,,,,WOS:000173543300061,,wos,
3020,2019,,,66,,,,,,,,WOS:000479181000001,,wos,
3021,2002,,,66,,,,,,,,WOS:000173913800002,,wos,
3022,2018,,,66,,,,,,,,WOS:000451313700002,,wos,
3023,2002,,,66,,,,,,,,WOS:000174710000017,,wos,
3024,2002,,,66,,,,,,,,WOS:000175084400005,,wos,
3025,2002,,,66,,,,,,,,WOS:000175798900004,,wos,
3026,2002,,,66,,,,,,,,WOS:000175908600040,,wos,
3027,2002,,,66,,,,,,,,WOS:000176256500011,,wos,
3028,2002,,,66,,,,,,,,WOS:000178394700011,,wos,
3029,2019,,,66,,,,,,,,WOS:000503984400007,,wos,
3030,2018,,,66,,,,,,,,WOS:000446233900004,,wos,
3031,2003,,,66,,,,,,,,WOS:000180050900001,,wos,
3032,2002,,,66,,,,,,,,WOS:000180193500017,,wos,
3033,2002,,,66,,,,,,,,WOS:000180353100013,,wos,
3034,2003,,,66,,,,,,,,WOS:000180406700003,,wos,
3035,2017,,,66,,,,,,,,WOS:000412257800033,,wos,
3036,2003,,,66,,,,,,,,WOS:000181703700014,,wos,
3037,2003,,,66,,,,,,,,WOS:000182068300003,,wos,
3038,2003,,,66,,,,,,,,WOS:000182332400008,,wos,
3039,2003,,,66,,,,,,,,WOS:000183140700027,,wos,
3040,2003,,,66,,,,,,,,WOS:000183243300012,,wos,
3041,2003,,,66,,,,,,,,WOS:000184161800782,,wos,
3042,2003,,,66,,,,,,,,WOS:000184455900009,,wos,
3043,2003,,,66,,,,,,,,WOS:000184651600060,,wos,
3044,2003,,,66,,,,,,,,WOS:000184794200018,,wos,
3045,2004,,,66,,,,,,,,WOS:000188384000016,,wos,
3046,2003,,,66,,,,,,,,WOS:000188662100011,,wos,
3047,2003,,,66,,,,,,,,WOS:000189233300018,,wos,
3048,2007,,,66,,,,,,,,WOS:000206500600022,,wos,
3049,2009,,,66,,,,,,,,WOS:000207781000193,,wos,
3050,2009,,,66,,,,,,,,WOS:000207952400221,,wos,
3051,2020,,,66,,,,,,,,WOS:000514192000012,,wos,
3052,2005,,,66,,,,,,,,WOS:000208519000019,,wos,
3053,2010,,,66,,,,,,,,WOS:000208762004022,,wos,
3054,2012,,,66,,,,,,,,WOS:000208863600299,,wos,
3055,2020,,,66,,,,,,,,WOS:000515884100002,,wos,
3056,2006,,,66,,,,,,,,WOS:000208933500031,,wos,
