event_id,event_year,event_month,event_day,account_id,sampled,event_text,type,subtype,actors,places,keywords,wos_keys,bib_keys,extracted_from,comment
2483,2016,,,60,,,publication,,,,,000393114700020,pawluk:2016a,highly cited from field corpus,
2484,2015,,,60,,,publication,,,,,000368913300001,zhang:2015a,highly cited from field corpus,
2485,2017,,,60,,,publication,,,,,000395661700028,datlinger:2017,highly cited from field corpus,
2486,2012,,,60,,,publication,,,,,000305095400009,westra:2012b,highly cited from field corpus,
2487,2014,,,60,,,publication,,,,,000336025700012,chen:2014a,highly cited from field corpus,
2488,2014,,,60,,,publication,,,,,000340881400006,hsu:2014,highly cited from field corpus,
2489,2008,,,60,,,publication,,,,,000253192900010,sorek:2008,highly cited from field corpus,
2490,2011,,,60,,,publication,,,,,000290205200003,jore:2011,highly cited from field corpus,
2491,2008,,,60,,,publication,,,,,000253005800029,horvath:2008,highly cited from field corpus,
2492,2013,,,60,,,publication,,,,,000318073300047,vercoe:2013,highly cited from field corpus,
2493,2016,,,60,,,publication,,,,,000393114700023,adamson:2016,highly cited from field corpus,
2494,2010,,,60,,,publication,,,,,000275396200013,pul:2010,highly cited from field corpus,
2495,2016,,,60,,,publication,,,,,000381560900031,mohanraju:2016,highly cited from field corpus,
2496,2014,,,60,,,publication,,,,,000329163500014,auer:2014,highly cited from field corpus,
2497,2014,,,60,,,publication,,,,,000345913700005,nakade:2014,highly cited from field corpus,
2498,2013,,,60,,,publication,,,,,000322453600021,friedland:2013,highly cited from field corpus,
2499,2015,,,60,,,publication,,,,,000358801800014,birsoy:2015,highly cited from field corpus,
2500,2016,,,60,,,publication,,,,,000389133000023,ma:2016a,highly cited from field corpus,
2501,2015,,,60,,,publication,,,,,000351060000101,xie:2015,highly cited from field corpus,
2502,2017,,,60,,,publication,,,,,000395924600021,dowdy:2017,highly cited from field corpus,
2503,2016,,,60,,,publication,,,,,000375594200008,hockemeyer:2016,highly cited from field corpus,
2504,2011,,,60,,,publication,,,,,000291857500020,wiedenheft:2011a,highly cited from field corpus,
2505,2008,,,60,,,publication,,,,,000252443000018,tyson:2008,highly cited from field corpus,
2506,2015,,,60,,,publication,,,,,000365570500001,lawrenson:2015,highly cited from field corpus,
2507,2011,,,60,,,publication,,,,,000294439100012,chen:2011,highly cited from field corpus,
2508,2016,,,60,,,publication,,,,,000368440500044,long:2016,highly cited from field corpus,
2509,2013,,,60,,,publication,,,,,000322911000008,li:2013c,highly cited from field corpus,
