event_id,event_year,event_month,event_day,account_id,sampled,event_text,type,subtype,actors,places,keywords,wos_keys,bib_keys,extracted_from,comment
263,2016,,,9,,,publication,,,,,000379324700011,wang:2016b,reference list,
264,2014,,,9,,,publication,,,,,000332083900012,nishimasu:2014,reference list,
265,1989,,,9,,,publication,,,,,A1989AE30400006,rudin:1989,reference list,
266,1985,,,9,,,publication,,,,,A1985ADL3900022,lin:1985,reference list,
267,2007,,,9,,,publication,,,,,000243971600009,meaburn:2007,reference list,
268,2015,,,9,,,publication,,,,,000349966200002,nihongaki:2015b,reference list,
269,1993,,,9,,,publication,,,,,A1993KL71700023,peabody:1993,reference list,
270,2016,,,9,,,publication,,,,,000377472100007,shao:2016,reference list,
271,2016,,,9,,,publication,,,,,000389133000024,hess:2016,reference list,
272,2015,,,9,,,publication,,,,,000366387700022,kleinstiver:2015a,reference list,
273,2007,,,9,,,publication,,,,,000247994000029,miller:2007,reference list,
274,1987,,,9,,,publication,,,,,A1987P094200053,klug:1987,reference list,
275,2008,,,9,,,publication,,,,,000253005800028,deveau:2008,reference list,
276,2016,,,9,,,publication,,,,,000386341500026,amabile:2016,reference list,
277,2010,,,9,,,publication,,,,,000283786900036,garneau:2010,reference list,
278,2013,,,9,,,publication,,,,,000326658500004,bickmore:2013,reference list,
279,2013,,,9,,,publication,,,,,000328693300006,chen:2013a,reference list,
280,2010,,,9,,,publication,,,,,000282870500025,bernstein:2010,reference list,
281,2013,,,9,,,publication,,,,,000324306300024,mali:2013b,reference list,
282,2015,,,9,,,publication,,,,,000349840500009,polstein:2015,reference list,
283,2016,,,9,,,publication,,,,,000386341500027,liu:2016a,reference list,
284,2016,,,9,,,publication,,,,,000368673800029,kleinstiver:2016a,reference list,
285,2017,,,9,,,publication,,,,,000396055400021,stepper:2017,reference list,
286,2015,,,9,,,publication,,,,,000366406500004,singh:2015a,reference list,
287,2016,,,9,,,publication,,,,,000386317500021,morita:2016,reference list,
288,2014,,,9,,,publication,,,,,000337233800020,tsai:2014,reference list,
289,2013,,,9,,,publication,,,,,000328585600001,jinek:2013,reference list,
290,2009,,,9,,,publication,,,,,000272623600050,boch:2009,reference list,
291,2015,,,9,,,publication,,,,,000354338500002,hemphill:2015,reference list,
292,1994,,,9,,,publication,,,,,A1994PV67400039,rouet:1994,reference list,
293,2009,,,9,,,publication,,,,,000272187200022,nishimura:2009,reference list,
294,1983,,,9,,,publication,,,,,A1983RD90000013,rothstein:1983,reference list,
295,2015,,,9,,,publication,,,,,000365989800007,gantz:2015a,reference list,
296,2014,,,9,,,publication,,,,,000329163500013,cho:2014,reference list,
297,2015,,,9,,,publication,,,,,000359741400022,shachar:2015,reference list,
298,1999,,,9,,,publication,,,,,000083440600003,okano:1999,reference list,
299,2018,,,9,,,publication,,,,,000427924900001,greally:2018,reference list,
300,2014,,,9,,,publication,,,,,000339962800022,oye:2014,reference list,
301,2015,,,9,,,publication,,,,,000353645800008,kearns:2015,reference list,
302,2005,,,9,,,publication,,,,,000234713300005,haft:2005,reference list,
303,2017,,,9,,,publication,,,,,000415759900011,hao:2017,reference list,
304,2015,,,9,,,publication,,,,,000361009200012,balboa:2015,reference list,
305,2016,,,9,,,publication,,,,,000383794500013,chavez:2016,reference list,
306,2010,,,9,,,publication,,,,,000282807400025,christian:2010,reference list,
307,2009,,,9,,,publication,,,,,000264515100009,mojica:2009,reference list,
308,2016,,,9,,,publication,,,,,000374815900051,fonfara:2016,reference list,
309,2013,,,9,,,publication,,,,,000326164100014,ran:2013a,reference list,
310,2017,,,9,,,publication,,,,,000410812200007,braun:2017,reference list,
311,2015,,,9,,,publication,,,,,000365320900001,friedland:2015,reference list,
312,2006,,,9,,,publication,,,,,000241427300019,rosen:2006,reference list,
313,2014,,,9,,,publication,,,,,000329162000052,wang:2014a,reference list,
314,2008,,,9,,,publication,,,,,000261799400054,marraffini:2008,reference list,
315,2017,,,9,,,publication,,,,,000411338600017,billon:2017,reference list,
316,2017,,,9,,,publication,,,,,000396106500001,qin:2017,reference list,
317,2014,,,9,,,publication,,,,,000336662200012,kim:2014a,reference list,
318,2016,,,9,,,publication,,,,,000381524500001,cano-rodriguez:2016,reference list,
319,2016,,,9,,,publication,,,,,000375735000033,ma:2016b,reference list,
320,2013,,,9,,,publication,,,,,000316851100026,crosetto:2013,reference list,
321,2017,,,9,,,publication,,,,,000406366000090,xiong:2017,reference list,
322,2017,,,9,,,publication,,,,,000404226100001,tang:2017a,reference list,
323,1996,,,9,,,publication,,,,,A1996TU64000037,kim:1996,reference list,
324,2016,,,9,,,publication,,,,,000385402300129,choudhury:2016,reference list,
325,2004,,,9,,,publication,,,,,000223578800004,sussman:2004,reference list,
326,2011,,,9,,,publication,,,,,000288951200035,deltcheva:2011,reference list,
327,2015,,,9,,,publication,,,,,000358378900041,kleinstiver:2015b,reference list,
328,2015,,,9,,,publication,,,,,000352083100018,chavez:2015,reference list,
329,2014,,,9,,,publication,,,,,000338705900034,kuscu:2014,reference list,
330,2013,,,9,,,publication,,,,,000324765100038,hou:2013,reference list,
331,2013,,,9,,,publication,,,,,000315710300022,qi:2013,reference list,
332,2014,,,9,,,publication,,,,,000332819800025,koike-yusa:2014,reference list,
333,2017,,,9,,,publication,,,,,000404399500027,kuscu:2017,reference list,
334,2007,,,9,,,publication,,,,,000245106900039,barrangou:2007,reference list,
335,2009,,,9,,,publication,,,,,000272623600048,moscou:2009,reference list,
336,2005,,,9,,,publication,,,,,000229476200043,urnov:2005,reference list,
337,2016,,,9,,,publication,,,,,000376004300054,komor:2016,reference list,
338,1986,,,9,,,publication,,,,,A1986A121100007,thomas:1986,reference list,
339,2017,,,9,,,publication,,,,,000394499000001,kim:2017a,reference list,
340,2015,,,9,,,publication,,,,,000358396100032,nihongaki:2015a,reference list,
341,2014,,,9,,,publication,,,,,000332819800027,fu:2014a,reference list,
342,2013,,,9,,,publication,,,,,000324306300023,hsu:2013,reference list,
343,2012,,,9,,,publication,,,,,000309604500003,gasiunas:2012,reference list,
344,2005,,,9,,,publication,,,,,000228031500002,kaminskas:2005,reference list,
345,1980,,,9,,,publication,,,,,A1980KN31400004,razin:1980,reference list,
346,1989,,,9,,,publication,,,,,A1989AA76500022,capecchi:1989,reference list,
347,2010,,,9,,,publication,,,,,000276311400023,groner:2010,reference list,
348,2017,,,9,,,publication,,,,,000405401300001,morgan:2017,reference list,
349,2011,,,9,,,publication,,,,,000287023000021,miller:2011,reference list,
350,2014,,,9,,,publication,,,,,000337956100013,anton:2014,reference list,
351,2016,,,9,,,publication,,,,,000376748000001,wang:2016a,reference list,
352,2013,,,9,,,publication,,,,,000324306300022,fu:2013,reference list,
353,2013,,,9,,,publication,,,,,000325278000007,cheng:2013,reference list,
354,2017,,,9,,,publication,,,,,000401223400001,kwon:2017,reference list,
355,1996,,,9,,,publication,,,,,A1996VF88400008,friedman:1996,reference list,
356,2014,,,9,,,publication,,,,,000345763400031,doudna:2014,reference list,
357,2011,,,9,,,publication,,,,,000288366500004,liang:2011,reference list,
358,2014,,,9,,,publication,,,,,000329162000053,shalem:2014,reference list,
359,2016,,,9,,,publication,,,,,000368758200030,hammond:2016,reference list,
360,1987,,,9,,,publication,,,,,A1987L042600013,ishino:1987,reference list,
361,2007,,,9,,,publication,,,,,000245572200007,ptashne:2007,reference list,
362,2016,,,9,,,publication,,,,,000377846400032,oakes:2016,reference list,
363,2016,,,9,,,publication,,,,,000378393600047,bialek:2016,reference list,
364,2013,,,9,,,publication,,,,,000328251900027,mendenhall:2013,reference list,
365,2016,,,9,,,publication,,,,,000389133000025,gao:2016a,reference list,
366,2013,,,9,,,publication,,,,,000324306300025,pattanayak:2013,reference list,
367,2010,,,9,,,publication,,,,,000281115600012,urnov:2010,reference list,
368,2014,,,9,,,publication,,,,,000337233800021,guilinger:2014,reference list,
369,2003,,,9,,,publication,,,,,000185675600005,urrutia:2003,reference list,
370,2000,,,9,,,publication,,,,,000086338200024,mojica:2000,reference list,
371,2004,,,9,,,publication,,,,,000226109700007,shi:2004,reference list,
372,2015,,,9,,,publication,,,,,000352454600031,ran:2015,reference list,
373,2015,,,9,,,publication,,,,,000349198800025,tsai:2015,reference list,
374,2013,,,9,,,publication,,,,,000326883900014,miyanari:2013,reference list,
375,2016,,,9,,,publication,,,,,000389133000012,kuscu:2016,reference list,
376,2012,,,9,,,publication,,,,,000308347000040,thurman:2012,reference list,
377,2015,,,9,,,publication,,,,,000352348500025,dow:2015,reference list,
378,2013,,,9,,,publication,,,,,000325073800017,perez-pinera:2013a,reference list,
379,2014,,,9,,,publication,,,,,000340944700015,deng:2014,reference list,
380,2016,,,9,,,publication,,,,,000376671200001,fu:2016,reference list,
