UT	Date	Cit	Specific_Cases
A1995RN22400008	2017	14	
A1995RN22400008	2019	11	
A1995RN22400008	2016	10	
A1995RN22400008	2012	8	
A1995RN22400008	2018	8	
A1995RN22400008	2005	7	
A1995RN22400008	2011	7	
A1995RN22400008	2007	6	
A1995RN22400008	2009	6	
A1995RN22400008	2008	5	
A1995RN22400008	2002	4	
A1995RN22400008	2010	4	
A1995RN22400008	2015	4	
A1995RN22400008	1998	3	
A1995RN22400008	2006	3	
A1995RN22400008	2014	3	
A1995RN22400008	2020	3	
A1995RN22400008	1996	2	
A1995RN22400008	1997	2	
A1995RN22400008	1999	2	
A1995RN22400008	2004	2	
A1995RN22400008	2013	2	
A1995RN22400008	2000	1	
A1995RN22400008	2003	1	
A1993MM63500016	2012	15	
A1993MM63500016	2000	13	
A1993MM63500016	1996	12	
A1993MM63500016	1997	12	
A1993MM63500016	2002	12	
A1993MM63500016	2004	12	
A1993MM63500016	2001	11	
A1993MM63500016	2008	11	
A1993MM63500016	2015	11	
A1993MM63500016	1998	10	
A1993MM63500016	2007	10	
A1993MM63500016	2016	10	
A1993MM63500016	2017	10	
A1993MM63500016	2019	10	
A1993MM63500016	1995	9	
A1993MM63500016	1999	9	
A1993MM63500016	2005	9	
A1993MM63500016	2006	8	
A1993MM63500016	2011	8	
A1993MM63500016	2010	7	
A1993MM63500016	2014	7	
A1993MM63500016	2003	6	
A1993MM63500016	2018	6	
A1993MM63500016	2009	5	
A1993MM63500016	2013	5	
A1993MM63500016	2020	3	
A1993MM63500016	1994	1	
000368673800029	2018	222	kleinstiver:2016
000368673800029	2017	221	kleinstiver:2016
000368673800029	2019	219	kleinstiver:2016
000368673800029	2016	149	kleinstiver:2016
000368673800029	2020	45	kleinstiver:2016
000361797500124	2017	5	
000361797500124	2016	3	
000361797500124	2019	3	
000361797500124	2018	2	
000355068100004	2019	4	
000355068100004	2018	2	
000355068100004	2017	1	
000354054700006	2017	102	
000354054700006	2018	93	
000354054700006	2016	91	
000354054700006	2019	76	
000354054700006	2015	47	
000354054700006	2020	19	
000353338000036	2017	52	
000353338000036	2016	48	
000353338000036	2018	46	
000353338000036	2019	42	
000353338000036	2015	28	
000353338000036	2020	9	
000349777500001	2019	79	
000349777500001	2018	75	
000349777500001	2017	73	
000349777500001	2016	72	
000349777500001	2015	69	
000349777500001	2014	46	
000349777500001	2020	14	
000346484800053	2017	61	
000346484800053	2016	57	
000346484800053	2015	50	
000346484800053	2018	48	
000346484800053	2019	41	
000346484800053	2020	8	
000340881400006	2018	415	hsu:2014
000340881400006	2019	409	hsu:2014
000340881400006	2016	406	hsu:2014
000340881400006	2017	397	hsu:2014
000340881400006	2015	307	hsu:2014
000340881400006	2020	88	hsu:2014
000340881400006	2014	58	hsu:2014
000339962800022	2018	31	
000339962800022	2015	30	
000339962800022	2017	25	
000339962800022	2019	24	
000339962800022	2016	21	
000339962800022	2020	6	
000339962800022	2014	4	
000337233800017	2015	90	
000337233800017	2016	90	
000337233800017	2017	85	
000337233800017	2018	84	
000337233800017	2019	64	
000337233800017	2014	38	
000337233800017	2020	15	
000332389400075	2015	13	
000332389400075	2019	8	
000332389400075	2020	6	
000332389400075	2017	5	
000332389400075	2014	4	
000332389400075	2016	4	
000332389400075	2018	1	
000332083900012	2019	128	
000332083900012	2017	116	
000332083900012	2018	111	
000332083900012	2016	103	
000332083900012	2015	84	
000332083900012	2014	57	
000332083900012	2020	34	
000329569500006	2014	51	
000329569500006	2017	47	
000329569500006	2015	43	
000329569500006	2016	43	
000329569500006	2018	36	
000329569500006	2019	27	
000329569500006	2013	17	
000329569500006	2020	5	
000329162000053	2019	405	shalem:2014
000329162000053	2017	353	shalem:2014
000329162000053	2018	349	shalem:2014
000329162000053	2016	297	shalem:2014
000329162000053	2015	210	shalem:2014
000329162000053	2014	115	shalem:2014
000329162000053	2020	95	shalem:2014
000329162000053	2013	1	shalem:2014
000329162000052	2017	227	wang:2014
000329162000052	2019	214	wang:2014
000329162000052	2018	212	wang:2014
000329162000052	2016	209	wang:2014
000329162000052	2015	193	wang:2014
000329162000052	2014	120	wang:2014
000329162000052	2020	53	wang:2014
000329162000052	2013	1	wang:2014
000328585600001	2016	178	
000328585600001	2017	164	
000328585600001	2018	151	
000328585600001	2015	134	
000328585600001	2019	132	
000328585600001	2014	120	
000328585600001	2013	68	
000328585600001	2020	27	
000326746400002	2016	75	
000326746400002	2019	66	
000326746400002	2015	62	
000326746400002	2018	61	
000326746400002	2014	46	
000326746400002	2017	39	
000326746400002	2020	15	
000326746400002	2013	5	
000318844000018	2016	300	wang:2013
000318844000018	2015	286	wang:2013
