,tokens,types
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,1,1
169,1,1
170,1,1
171,1,1
172,1,1
173,1,1
174,1,1
175,1,1
176,1,1
177,1,1
178,1,1
179,1,1
180,1,1
181,1,1
182,1,1
183,1,1
184,1,1
185,1,1
186,1,1
187,1,1
188,7,7
189,7,7
190,7,7
191,7,7
192,7,7
193,7,7
194,7,7
195,7,7
196,7,7
197,7,7
198,7,7
199,7,7
200,7,7
201,7,7
202,7,7
203,7,7
204,7,7
205,7,7
206,8,8
207,8,8
208,8,8
209,8,8
210,9,8
211,9,8
212,9,8
213,9,8
214,9,8
215,9,8
216,9,8
217,9,8
218,9,8
219,9,8
220,9,8
221,9,8
222,9,8
223,9,8
224,9,8
225,9,8
226,9,8
227,9,8
228,9,8
229,9,8
230,9,8
231,9,8
232,9,7
233,9,7
234,9,7
235,9,7
236,9,7
237,9,7
238,9,7
239,9,7
240,9,7
241,9,7
242,9,7
243,9,7
244,9,7
245,9,7
246,9,7
247,9,7
248,9,7
249,9,7
250,9,7
251,9,7
252,9,7
253,9,7
254,9,7
255,9,7
256,9,7
257,9,7
258,9,7
259,9,7
260,9,7
261,9,7
262,7,6
263,7,6
264,7,6
265,7,6
266,7,6
267,7,6
268,7,6
269,7,6
270,7,6
271,7,6
272,7,6
273,7,6
274,7,6
275,7,6
276,7,6
277,7,6
278,7,6
279,7,6
280,7,6
281,7,6
282,7,6
283,7,6
284,7,6
285,7,6
286,7,6
287,9,7
288,9,7
289,10,8
290,10,8
291,10,8
292,10,8
293,10,8
294,10,8
295,10,8
296,10,8
297,10,8
298,10,8
299,10,8
300,10,8
301,10,8
302,10,8
303,10,8
304,10,8
305,10,8
306,10,8
307,10,8
308,10,8
309,10,8
310,10,8
311,10,8
312,10,8
313,10,8
314,10,8
315,10,8
316,10,8
317,10,8
318,10,8
319,10,8
320,10,8
321,10,8
322,10,8
323,10,8
324,10,8
325,10,8
326,10,8
327,10,8
328,16,9
329,16,9
330,16,9
331,16,9
332,16,9
333,16,9
334,16,9
335,16,9
336,16,9
337,16,9
338,16,9
339,16,9
340,16,9
341,16,9
342,16,9
343,16,9
344,16,9
345,17,9
346,17,9
347,17,9
348,17,9
349,17,9
350,17,9
351,52,10
352,17,9
353,26,10
354,26,10
355,26,10
356,17,9
357,10,8
358,10,8
359,10,8
360,10,8
361,10,8
362,10,8
363,10,8
364,10,8
365,10,8
366,10,8
367,10,8
368,10,8
369,10,8
370,10,8
371,10,8
372,10,8
373,10,8
374,10,8
375,10,8
376,10,8
377,10,8
378,10,8
379,12,9
380,10,8
381,12,9
382,10,8
383,12,9
384,10,8
385,10,8
386,10,8
387,10,8
388,10,8
389,10,8
390,10,8
391,10,8
392,10,8
393,10,8
394,10,8
395,10,8
396,10,8
397,10,8
398,10,8
399,10,8
400,10,8
401,10,8
402,10,8
403,10,8
404,10,8
405,10,8
406,10,8
407,10,8
408,10,8
409,10,8
410,10,8
411,10,8
412,10,8
413,10,8
414,10,8
415,10,8
416,10,8
417,10,8
418,10,8
419,10,8
420,10,8
421,10,8
422,10,8
423,10,8
424,10,8
425,10,8
426,10,8
427,10,8
428,10,8
429,10,8
430,10,8
431,10,8
432,10,8
433,10,8
434,10,8
435,10,8
436,10,8
437,10,8
438,10,8
439,10,8
440,10,8
441,10,8
442,10,8
443,10,8
444,10,8
445,10,8
446,10,8
447,10,8
448,10,8
449,10,8
450,10,8
451,10,8
452,10,8
453,10,8
454,10,8
455,10,8
456,10,8
457,10,8
458,10,8
459,10,8
460,10,8
461,10,8
462,10,8
463,10,8
464,10,8
465,10,8
466,10,8
467,10,8
468,10,8
469,10,8
470,10,8
471,10,8
472,10,8
473,10,8
474,10,8
475,10,8
476,10,8
477,10,8
478,10,8
479,10,8
480,10,8
481,10,8
482,10,8
483,10,8
484,10,8
485,10,8
486,10,8
487,10,8
488,10,8
489,10,8
490,10,8
491,10,8
492,10,8
493,10,8
494,10,8
495,10,8
496,10,8
497,10,8
498,10,8
499,10,8
500,10,8
501,10,8
502,10,8
503,10,8
504,10,8
505,10,8
506,10,8
507,10,8
508,10,8
509,10,8
510,10,8
511,10,8
512,10,8
513,10,8
514,10,8
515,10,8
516,10,8
517,10,8
518,10,8
519,10,8
520,10,8
521,10,8
522,10,8
523,10,8
524,10,8
525,10,8
526,10,8
527,10,8
528,10,8
529,11,9
530,11,9
531,11,9
532,11,9
533,11,9
534,11,9
535,11,9
536,11,9
537,11,9
538,11,9
539,11,9
540,11,9
541,11,9
542,11,9
543,11,9
544,11,9
545,11,9
546,11,9
547,11,9
548,11,9
549,11,9
550,11,9
551,11,9
552,11,9
553,11,9
554,11,9
555,11,9
556,11,9
557,11,9
558,9,8
559,9,8
560,9,8
561,9,8
562,9,8
563,9,8
564,9,8
565,9,8
566,9,8
567,9,8
568,9,8
569,9,8
570,9,8
571,9,8
