,tokens,types
0,14,8
1,14,8
2,14,8
3,14,8
4,14,8
5,14,8
6,14,8
7,14,8
8,14,8
9,14,8
10,14,8
11,14,8
12,14,8
13,14,8
14,14,8
15,14,8
16,14,8
17,14,8
18,14,8
19,14,8
20,14,8
21,14,8
22,14,8
23,14,8
24,14,8
25,14,8
26,14,8
27,14,8
28,14,8
29,14,8
30,14,8
31,14,8
32,14,8
33,14,8
34,14,8
35,14,8
36,14,8
37,14,8
38,14,8
39,14,8
40,14,8
41,14,8
42,14,8
43,14,8
44,14,8
45,14,8
46,14,8
47,14,8
48,14,8
49,14,8
50,14,8
51,14,8
52,14,8
53,14,8
54,14,8
55,14,8
56,14,8
57,14,8
58,14,8
59,14,8
60,14,8
61,14,8
62,14,8
63,14,8
64,14,8
65,14,8
66,14,8
67,14,8
68,14,8
69,14,8
70,14,8
71,14,8
72,14,8
73,14,8
74,14,8
75,14,8
76,14,8
77,14,8
78,14,8
79,14,8
80,14,8
81,14,8
82,14,8
83,14,8
84,14,8
85,14,8
86,14,8
87,14,8
88,14,8
89,14,8
90,14,8
91,14,8
92,14,8
93,14,8
94,14,8
95,14,8
96,14,8
97,14,8
98,14,8
99,14,8
100,14,8
101,14,8
102,14,8
103,14,8
104,14,8
105,14,8
106,14,8
107,14,8
108,14,8
109,14,8
110,14,8
111,14,8
112,14,8
113,14,8
114,14,8
115,14,8
116,14,8
117,14,8
118,14,8
119,14,8
120,14,8
121,14,8
122,14,8
123,14,8
124,14,8
125,14,8
126,14,8
127,14,8
128,14,8
129,14,8
130,14,8
131,14,8
132,14,8
133,14,8
134,14,8
135,14,8
136,14,8
137,14,8
138,14,8
139,14,8
140,14,8
141,14,8
142,14,8
143,14,8
144,14,8
145,14,8
146,14,8
147,14,8
148,14,8
149,14,8
150,14,8
151,14,8
152,14,8
153,14,8
154,14,8
155,14,8
156,14,8
157,14,8
158,14,8
159,14,8
160,16,8
161,18,8
162,18,8
163,18,8
164,18,8
165,18,8
166,18,8
167,18,8
168,18,8
169,18,8
170,18,8
171,18,8
172,18,8
173,18,8
174,18,8
175,20,8
176,20,8
177,20,8
178,20,8
179,20,8
180,22,8
181,23,9
182,23,9
183,23,9
184,23,9
185,23,9
186,23,9
187,23,9
188,23,9
189,23,9
190,23,9
191,23,9
192,23,9
193,23,9
194,23,9
195,23,9
196,23,9
197,23,9
198,23,9
